state,district,total,Obama,Romney,winner
IL,Marion,15728,39.48372329603255,58.67878942014242,Romney
IL,Marshall,5842,41.97192742211571,56.26497774734679,Romney
IL,Mason,6272,45.71109693877551,52.056760204081634,Romney
IL,Massac,6492,32.224276032039434,65.89648798521257,Romney
IL,Menard,6142,34.10941061543471,64.213611201563,Romney
IL,Mercer,8525,52.82111436950146,45.442815249266864,Obama
IL,Monroe,17407,35.64657896248636,62.49784569426093,Romney
IL,Montgomery,12120,41.6914191419142,55.866336633663366,Romney
IL,Morgan,14071,41.16267500533012,56.5844645014569,Romney
IL,Moultrie,6052,35.39325842696629,62.475214805023136,Romney
IL,Ogle,23342,40.716305372290286,57.445805843543816,Romney
IL,Peoria,78060,51.306687163720206,46.90878811170894,Obama
IL,Perry,9533,39.99790202454631,57.662855344592465,Romney
IL,Piatt,8697,35.426008968609864,62.22835460503622,Romney
IL,Pike,7275,31.2852233676976,66.70790378006873,Romney
IL,Pope,2219,29.24740874267688,68.09373591707977,Romney
IL,Pulaski,3001,46.284571809396866,52.049316894368545,Romney
IL,Putnam,3132,49.744572158365266,47.892720306513404,Obama
IL,Randolph,14380,40.006954102920716,57.60778859527122,Romney
IL,Richland,7274,32.444322243607374,65.30107231234534,Romney
IL,Rock Island,64880,60.2358199753391,38.36004932182491,Obama
IL,St. Clair,118379,56.38584546245533,41.90777080394327,Obama
IL,Saline,10713,34.509474470269765,63.502286941099605,Romney
IL,Sangamon,94032,44.624170495150594,53.312702058873576,Romney
IL,Schuyler,3882,44.46161772282328,53.116950025759905,Romney
IL,Scott,2554,35.630383711824585,62.098668754894284,Romney
IL,Shelby,10383,32.12944235770009,65.84802080323607,Romney
IL,Stark,2661,41.1499436302142,57.384441939120634,Romney
IL,Stephenson,17029,46.708555992718296,51.33595630982442,Romney
IL,Tazewell,60903,40.039078534719145,57.90519350442507,Romney
IL,Union,8274,37.889775199419866,59.838046893884446,Romney
IL,Vermilion,26153,41.19221504225137,56.9265476235996,Romney
IL,Wabash,5127,30.97327872049932,67.73941876340939,Romney
IL,Warren,7476,52.0733012306046,46.28143392188336,Obama
IL,Washington,7398,33.09002433090024,64.70667748040012,Romney
IL,Wayne,7676,19.723814486711827,77.95726941115164,Romney
IL,White,7059,30.98172545686358,66.9924918543703,Romney
IL,Whiteside,21492,57.66331658291458,40.368509212730324,Obama
IL,Will,249708,51.06844794720233,47.40176526182582,Obama
IL,Williamson,29079,36.528078682210534,61.48767151552666,Romney
IL,Winnebago,116101,51.96682199119732,46.27178060481822,Obama
IL,Woodford,18848,29.52037351443124,68.69163837011885,Romney
IN,Adams,12998,29.235266964148327,68.74903831358671,Romney
IN,Allen,146405,40.86882278610703,57.63327755199617,Romney
IN,Bartholomew,29313,36.23648210691504,61.68935284685976,Romney
IN,Benton,3577,32.40145373217781,65.11042773273694,Romney
IN,Blackford,4740,40.65400843881857,57.17299578059072,Romney
IN,Boone,27725,30.03065825067629,67.83408476104599,Romney
IN,Brown,7590,40.263504611330696,57.04874835309618,Romney
IN,Carroll,7793,33.76106762479148,64.07031951751571,Romney
IN,Cass,14137,37.950060125910724,59.64490344486102,Romney
IN,Clark,47062,44.143895287068126,54.018103777995,Romney
IN,Clay,10922,33.23567112250503,64.68595495330526,Romney
IN,Clinton,9879,33.475048081789645,64.15629112258326,Romney
IN,Crawford,4586,44.48320976886176,52.72568687309202,Romney
IN,Daviess,10246,23.78489166504001,74.54616435682217,Romney
IN,Dearborn,22352,29.200966356478173,68.85737294201861,Romney
IN,Decatur,10303,28.54508395612928,69.09637969523439,Romney
IN,DeKalb,16314,33.21686894691676,64.88905234767685,Romney
IN,Delaware,44924,50.37396491852907,47.259816579111394,Obama
IN,Dubois,18542,35.174199115521525,62.851903785999355,Romney
IN,Elkhart,67768,35.969779246842165,62.489670641010505,Romney
IN,Fayette,8816,40.30172413793103,57.214156079854796,Romney
IN,Floyd,35283,41.960717626052215,56.31040444406656,Romney
IN,Fountain,7103,31.43742080810925,65.60608193720961,Romney
IN,Franklin,10549,27.557114418428288,70.34790027490757,Romney
IN,Fulton,8120,32.278325123152705,65.45566502463053,Romney
IN,Gibson,14718,33.482810164424514,64.45848620736513,Romney
IN,Grant,25258,37.96420935941088,59.973077836725,Romney
IN,Greene,13101,33.12724219525227,64.55232425005725,Romney
IN,Hamilton,136803,32.0124558671959,66.3289547743836,Romney
IN,Hancock,32758,28.39916966847793,69.44868429086026,Romney
IN,Harrison,17646,37.40224413464808,60.23461407684461,Romney
IN,Hendricks,66590,31.686439405316115,66.53851929719177,Romney
IN,Henry,18996,40.07685828595493,57.04358812381554,Romney
IN,Howard,36194,41.71133337017185,56.04243797314472,Romney
IN,Huntington,15753,29.175395162826128,68.95194566114391,Romney
IN,Jackson,16704,34.94971264367816,62.37428160919541,Romney
IN,Jasper,12891,36.24233961678691,61.70971995966178,Romney
IN,Jay,7897,38.78688109408636,58.79447891604407,Romney
IN,Jefferson,13120,43.65853658536585,54.085365853658544,Romney
IN,Jennings,10237,37.296082836768576,59.70499169678617,Romney
IN,Johnson,57362,29.77580976953384,68.22635194030893,Romney
IN,Knox,15145,34.519643446682075,63.466490590954116,Romney
IN,Kosciusko,30039,22.843636605745864,75.07906388361795,Romney
IN,LaGrange,9311,31.113736440768985,66.87788637095909,Romney
IN,Lake,201648,64.87741014044275,33.919007379195435,Obama
IN,LaPorte,43657,55.21222255308428,42.62546670637011,Obama
IN,Lawrence,17822,32.42621479070812,65.21153630344519,Romney
IN,Madison,52340,46.625907527703475,51.117692013756205,Romney
IN,Marion,357745,60.231170246963615,38.05252344547094,Obama
