,max_temp,rainfall,snowfall,bike_rides,month,holiday,weekend
2015-10-04,64,0.0,0.0,254,10,False,True
2015-10-05,72,0.0,0.0,259,10,False,False
2015-10-06,76,0.0,0.0,289,10,False,False
2015-10-07,72,0.0,0.0,379,10,False,False
2015-10-08,76,0.0,0.0,299,10,False,False
2015-10-09,71,0.24,0.0,214,10,False,False
2015-10-10,64,0.0,0.0,378,10,False,True
2015-10-11,69,0.0,0.0,361,10,False,True
2015-10-12,74,0.12,0.0,272,10,True,False
2015-10-13,63,0.08,0.0,201,10,False,False
2015-10-14,59,0.0,0.0,226,10,False,False
2015-10-15,63,0.01,0.0,255,10,False,False
2015-10-16,58,0.05,0.0,227,10,False,False
2015-10-17,45,0.0001,0.001,156,10,False,True
2015-10-18,45,0.01,0.001,97,10,False,True
2015-10-19,59,0.0,0.0,182,10,False,False
2015-10-20,70,0.0,0.0,241,10,False,False
2015-10-21,72,0.0,0.0,269,10,False,False
2015-10-22,70,0.11,0.0,208,10,False,False
2015-10-23,64,0.0,0.0,263,10,False,False
2015-10-24,67,0.39,0.0,198,10,False,True
2015-10-25,63,0.03,0.0,157,10,False,True
2015-10-26,58,0.0,0.0,170,10,False,False
2015-10-27,59,0.18,0.0,171,10,False,False
2015-10-28,64,1.43,0.0,68,10,False,False
2015-10-29,60,0.01,0.0,192,10,False,False
2015-10-30,48,0.0001,0.0,176,10,False,False
2015-10-31,56,0.0001,0.0,196,10,False,True
2015-11-01,66,0.04,0.0,186,11,False,True
2015-11-02,68,0.0,0.0,190,11,False,False
2015-11-03,74,0.0,0.0,208,11,False,False
2015-11-04,76,0.0,0.0,222,11,False,False
2015-11-05,76,0.0,0.0,272,11,False,False
2015-11-06,69,0.19,0.0,176,11,False,False
2015-11-07,54,0.0,0.0,250,11,False,True
2015-11-08,52,0.0,0.0,201,11,False,True
2015-11-09,56,0.0001,0.0,159,11,False,False
2015-11-10,54,0.61,0.0,55,11,False,False
2015-11-11,53,0.0001,0.0,177,11,True,False
2015-11-12,65,0.1,0.0,169,11,False,False
2015-11-13,50,0.0,0.0,180,11,False,False
2015-11-14,47,0.0,0.0,129,11,False,True
2015-11-15,62,0.0,0.0,187,11,False,True
2015-11-16,64,0.0,0.0,167,11,False,False
