Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,5295.899902,5331.399902,5263.799805,5270.5,0,5270.5
2016-01-05,5270.5,5270.5,5183.700195,5184.399902,0,5184.399902
2016-01-06,5184.399902,5191.100098,5094.799805,5123.100098,0,5123.100098
2016-01-07,5123.100098,5124.100098,4996.5,5010.299805,0,5010.299805
2016-01-08,5010.299805,5034.299805,4940.299805,4990.799805,0,4990.799805
2016-01-11,4990.799805,4990.799805,4880.100098,4932.200195,0,4932.200195
2016-01-12,4932.200195,4983.700195,4910.700195,4925.100098,0,4925.100098
2016-01-13,4925.100098,4992.399902,4925.100098,4987.399902,0,4987.399902
2016-01-14,4987.399902,4987.399902,4865.0,4909.399902,0,4909.399902
2016-01-15,4929.799805,4997.100098,4870.299805,4892.799805,0,4892.799805
2016-01-18,4869.200195,4892.799805,4803.899902,4858.700195,0,4858.700195
2016-01-19,4857.299805,4903.100098,4840.200195,4903.100098,0,4903.100098
2016-01-20,4903.100098,4930.100098,4836.799805,4841.5,0,4841.5
2016-01-21,4841.5,4928.100098,4841.5,4864.0,0,4864.0
2016-01-22,4883.600098,4932.100098,4864.0,4916.0,0,4916.0
2016-01-25,4916.0,5006.600098,4916.0,5006.600098,0,5006.600098
2016-01-27,5006.600098,5009.5,4937.899902,4946.399902,0,4946.399902
2016-01-28,4946.399902,4988.899902,4909.399902,4976.200195,0,4976.200195
2016-01-29,4976.200195,5008.5,4947.600098,5005.5,0,5005.5
